frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz
263, 0, 8.733, 0.98, 1, 26.1, -32.6, 481.1, 0.024, 0.055, 0.038
264, 0, 8.767, 0.98, 1, 25.8, -32.4, 477.5, 0.021, 0.049, 0.035
265, 0, 8.800, 0.98, 1, 25.6, -32.4, 477.9, 0.019, 0.048, 0.034
266, 0, 8.833, 0.98, 1, 25.3, -32.5, 478.9, 0.015, 0.056, 0.036
267, 0, 8.867, 0.98, 1, 25.1, -32.4, 477.8, 0.013, 0.056, 0.035
268, 0, 8.900, 0.98, 1, 24.8, -32.3, 477.0, 0.018, 0.055, 0.034
269, 0, 8.933, 0.98, 1, 24.8, -32.4, 477.5, 0.016, 0.054, 0.033
270, 0, 8.967, 0.98, 1, 24.5, -32.4, 480.8, 0.014, 0.058, 0.029
271, 0, 9.000, 0.98, 1, 24.4, -32.4, 480.7, 0.014, 0.051, 0.030
272, 0, 9.033, 0.98, 1, 24.2, -32.4, 478.6, 0.017, 0.048, 0.027
273, 0, 9.067, 0.98, 1, 24.0, -32.4, 479.0, 0.019, 0.053, 0.029
274, 0, 9.100, 0.98, 1, 23.9, -32.5, 481.9, 0.021, 0.054, 0.030
275, 0, 9.133, 0.98, 1, 23.7, -32.6, 482.5, 0.021, 0.056, 0.031
276, 0, 9.167, 0.98, 1, 23.7, -32.6, 482.7, 0.022, 0.057, 0.030
277, 0, 9.200, 0.98, 1, 23.6, -32.6, 483.8, 0.020, 0.054, 0.030
278, 0, 9.233, 0.98, 1, 23.3, -32.4, 481.1, 0.018, 0.051, 0.032
279, 0, 9.267, 0.98, 1, 22.8, -32.3, 483.3, 0.025, 0.052, 0.033
280, 0, 9.300, 0.98, 1, 22.4, -32.3, 483.7, 0.021, 0.051, 0.032
281, 0, 9.333, 0.98, 1, 22.0, -32.3, 484.1, 0.030, 0.061, 0.027
282, 0, 9.367, 0.98, 1, 21.3, -32.3, 481.9, 0.041, 0.086, 0.023
